Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
North America,NAC,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North America,NAC,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North America,NAC,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North America,NAC,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Deposit interest rate (%),FR.INR.DPST,2.25,2.52,4.14,2.25,2.25,2.75,3.5,3,3,2.75,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,..
China,CHN,Lending interest rate (%),FR.INR.LEND,5.58,6.12,7.47,5.31,5.31,5.81,6.56,6,6,5.6,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,..
China,CHN,Consumer price index (2010 = 100),FP.CPI.TOTL,86.5093181065058,87.9362296125358,92.1719134940607,97.6333310615016,96.9223990713834,100,105.553898922575,108.318908982374,111.158001765192,113.294060199837,114.922122819495,117.220567369674,119.088050428682,121.558877866113,125.083154382075,128.109443605623,129.366216637457,131.919356668535,132.229151902431,132.517581947783,..
China,CHN,GDP (current LCU),NY.GDP.MKTP.CN,18990750000000,22257840000000,27417970000000,32431780000000,35452160000000,41925330000000,49570760000000,54751060000000,60366040000000,65578290000000,70251150000000,76119300000000,84738290000000,93601010000000,100587240000000,103486760000000,117382300000000,123402940000000,129427170000000,134908354627800,..
United States,USA,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Lending interest rate (%),FR.INR.LEND,6.18916666666667,7.9575,8.05,5.0875,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.51166666666667,4.09666666666667,4.90416666666667,5.2825,3.54416666666667,3.25,..,..,..,..
United States,USA,Consumer price index (2010 = 100),FP.CPI.TOTL,89.5605323721102,92.4497050827274,95.0869923788515,98.7374773853445,98.3864199710624,100,103.156841568622,105.291504532867,106.833848874866,108.566932118964,108.695721960694,110.06700893427,112.411557302308,115.157303224791,117.244195476228,118.690501577198,124.266413825838,134.21120616846,139.73579356326,143.857336014608,..
United States,USA,GDP (current LCU),NY.GDP.MKTP.CN,13039199193000,13815586948000,14474226905000,14769857911000,14478064934000,15048964444000,15599728123000,16253972230000,16843190993000,17550680174000,18206020741000,18695110842000,19477336549000,20533057312000,21380976119000,21060473613000,23315080560000,25604848907611,27292170793214.4,28750956130731.2,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,
