period_end,value
2005-03-31,13039199193000.0
2005-06-30,13039199193000.0
2005-09-30,13039199193000.0
2005-12-31,13039199193000.0
2006-03-31,13815586948000.0
2006-06-30,13815586948000.0
2006-09-30,13815586948000.0
2006-12-31,13815586948000.0
2007-03-31,14474226905000.0
2007-06-30,14474226905000.0
2007-09-30,14474226905000.0
2007-12-31,14474226905000.0
2008-03-31,14769857911000.0
2008-06-30,14769857911000.0
2008-09-30,14769857911000.0
2008-12-31,14769857911000.0
2009-03-31,14478064934000.0
2009-06-30,14478064934000.0
2009-09-30,14478064934000.0
2009-12-31,14478064934000.0
2010-03-31,15048964444000.0
2010-06-30,15048964444000.0
2010-09-30,15048964444000.0
2010-12-31,15048964444000.0
2011-03-31,15599728123000.0
2011-06-30,15599728123000.0
2011-09-30,15599728123000.0
2011-12-31,15599728123000.0
2012-03-31,16253972230000.0
2012-06-30,16253972230000.0
2012-09-30,16253972230000.0
2012-12-31,16253972230000.0
2013-03-31,16843190993000.0
2013-06-30,16843190993000.0
2013-09-30,16843190993000.0
2013-12-31,16843190993000.0
2014-03-31,17550680174000.0
2014-06-30,17550680174000.0
2014-09-30,17550680174000.0
2014-12-31,17550680174000.0
2015-03-31,18206020741000.0
2015-06-30,18206020741000.0
2015-09-30,18206020741000.0
2015-12-31,18206020741000.0
2016-03-31,18695110842000.0
2016-06-30,18695110842000.0
2016-09-30,18695110842000.0
2016-12-31,18695110842000.0
2017-03-31,19477336549000.0
2017-06-30,19477336549000.0
2017-09-30,19477336549000.0
2017-12-31,19477336549000.0
2018-03-31,20533057312000.0
2018-06-30,20533057312000.0
2018-09-30,20533057312000.0
2018-12-31,20533057312000.0
2019-03-31,21380976119000.0
2019-06-30,21380976119000.0
2019-09-30,21380976119000.0
2019-12-31,21380976119000.0
2020-03-31,21060473613000.0
2020-06-30,21060473613000.0
2020-09-30,21060473613000.0
2020-12-31,21060473613000.0
2021-03-31,23315080560000.0
2021-06-30,23315080560000.0
2021-09-30,23315080560000.0
2021-12-31,23315080560000.0
2022-03-31,25604848907611.0
2022-06-30,25604848907611.0
2022-09-30,25604848907611.0
2022-12-31,25604848907611.0
2023-03-31,27292170793214.4
2023-06-30,27292170793214.4
2023-09-30,27292170793214.4
2023-12-31,27292170793214.4
2024-03-31,28750956130731.2
2024-06-30,28750956130731.2
2024-09-30,28750956130731.2
2024-12-31,28750956130731.2
